Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City) (L/100 km),Fuel Consumption (Hwy) (L/100 km),Fuel Consumption (Comb) (L/100 km),Fuel Consumption (Comb) (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2015,TOYOTA,HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6,AV6,X,8.4,8.3,8.4,34.0,193.0,6.0,7.0
2015,KIA,FORTE,MID-SIZE,1.8,4,M6,X,9.3,6.3,7.9,36.0,182.0,6.0,9.0
2015,JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4,A9,E,15.9,11.0,13.7,21.0,219.0,5.0,6.0
2015,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.1,8.1,10.3,27.0,237.0,4.0,7.0
2015,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.1,7.0,40.0,161.0,7.0,9.0
2015,MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.8,9.5,11.9,24.0,274.0,3.0,7.0
2015,MITSUBISHI,LANCER RALLIART,COMPACT,2,4,AM6,Z,13.4,9.4,11.6,24.0,267.0,3.0,7.0
2015,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36.0,182.0,6.0,8.0
2015,VOLVO,XC60 T5,SUV - SMALL,2,4,AS8,X,9.8,7.6,8.8,32.0,202.0,5.0,8.0
2015,TOYOTA,HIGHLANDER,SUV - SMALL,2.7,4,AS6,X,11.7,9.5,10.7,26.0,246.0,4.0,7.0
2015,FORD,EDGE AWD,SUV - SMALL,2,4,AS6,X,11.8,8.4,10.3,27.0,237.0,4.0,7.0
2015,VOLVO,V60 T5,STATION WAGON - SMALL,2,4,AS8,X,9.8,6.6,8.4,34.0,193.0,6.0,8.0
2015,ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18.0,370.0,1.0,5.0
2015,MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4,34.0,193.0,6.0,8.0
2015,MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,12.9,9.6,11.4,25.0,262.0,3.0,7.0
2015,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3,6,AS8,D,10.2,7.1,8.8,32.0,238.0,4.0,8.0
2015,MERCEDES-BENZ,S 63 AMG COUPE,COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2,21.0,304.0,1.0,6.0
2015,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.7,12.4,15.9,18.0,254.0,3.0,5.0
2015,KIA,CADENZA,FULL-SIZE,3.3,6,AS6,X,12.7,8.4,10.7,26.0,246.0,4.0,7.0
2015,MAZDA,CX-5,SUV - SMALL,2,4,AS6,X,8.9,7.3,8.2,34.0,189.0,6.0,8.0
2015,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,AM7,Z,12.2,8.9,10.7,26.0,246.0,4.0,7.0
2015,MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.2,5.9,7.2,39.0,166.0,7.0,9.0
2015,MINI,COOPER PACEMAN,COMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38.0,172.0,7.0,9.0
